date,instrument,bid,ask
2026-03-02 09:30:55,BITU,11.28,11.29
2026-03-02 09:31:55,BITU,11.32,11.34
2026-03-02 09:32:55,BITU,11.4,11.41
2026-03-02 09:33:55,BITU,11.41,11.42
2026-03-02 09:34:55,BITU,11.46,11.48
2026-03-02 09:35:55,BITU,11.47,11.48
2026-03-02 09:36:55,BITU,11.41,11.43
2026-03-02 09:37:55,BITU,11.41,11.42
2026-03-02 09:38:55,BITU,11.47,11.48
2026-03-02 09:39:55,BITU,11.5,11.5
2026-03-02 09:40:55,BITU,11.46,11.47
2026-03-02 09:41:55,BITU,11.49,11.5
2026-03-02 09:42:55,BITU,11.52,11.53
2026-03-02 09:43:55,BITU,11.54,11.55
2026-03-02 09:44:55,BITU,11.58,11.6
2026-03-02 09:45:55,BITU,11.55,11.56
2026-03-02 09:46:55,BITU,11.59,11.6
2026-03-02 09:47:55,BITU,11.64,11.65
2026-03-02 09:48:55,BITU,11.65,11.66
2026-03-02 09:49:55,BITU,11.71,11.72
2026-03-02 09:50:55,BITU,11.77,11.78
2026-03-02 09:51:55,BITU,11.73,11.74
2026-03-02 09:52:55,BITU,11.75,11.76
2026-03-02 09:53:55,BITU,11.7,11.71
2026-03-02 09:54:55,BITU,11.7,11.71
2026-03-02 09:55:55,BITU,11.71,11.72
2026-03-02 09:56:55,BITU,11.7,11.71
2026-03-02 09:57:55,BITU,11.73,11.74
2026-03-02 09:58:55,BITU,11.75,11.76
2026-03-02 09:59:55,BITU,11.76,11.78
2026-03-02 10:00:55,BITU,11.7,11.71
2026-03-02 10:01:55,BITU,11.84,11.85
2026-03-02 10:02:55,BITU,11.8,11.81
2026-03-02 10:03:55,BITU,11.82,11.83
2026-03-02 10:04:55,BITU,11.81,11.82
2026-03-02 10:05:55,BITU,11.84,11.85
2026-03-02 10:06:55,BITU,11.84,11.85
2026-03-02 10:07:55,BITU,11.92,11.93
2026-03-02 10:08:55,BITU,11.99,12.0
2026-03-02 10:09:55,BITU,11.98,11.99
2026-03-02 10:10:55,BITU,12.02,12.03
2026-03-02 10:11:55,BITU,12.08,12.09
2026-03-02 10:12:55,BITU,12.14,12.15
2026-03-02 10:13:55,BITU,12.16,12.17
2026-03-02 10:14:55,BITU,12.2,12.21
2026-03-02 10:15:55,BITU,12.17,12.18
2026-03-02 10:16:55,BITU,12.2,12.21
2026-03-02 10:17:55,BITU,12.25,12.26
2026-03-02 10:18:55,BITU,12.21,12.22
2026-03-02 10:19:55,BITU,12.2,12.21
2026-03-02 10:20:55,BITU,12.32,12.33
2026-03-02 10:21:55,BITU,12.25,12.26
2026-03-02 10:22:55,BITU,12.25,12.26
2026-03-02 10:23:55,BITU,12.29,12.3
2026-03-02 10:24:55,BITU,12.29,12.3
2026-03-02 10:25:55,BITU,12.28,12.29
2026-03-02 10:26:55,BITU,12.3,12.31
2026-03-02 10:27:55,BITU,12.29,12.3
2026-03-02 10:28:55,BITU,12.26,12.26
2026-03-02 10:29:55,BITU,12.26,12.27
2026-03-02 10:30:55,BITU,12.3,12.31
2026-03-02 10:31:55,BITU,12.3,12.31
2026-03-02 10:32:55,BITU,12.24,12.25
2026-03-02 10:33:55,BITU,12.29,12.3
2026-03-02 10:34:55,BITU,12.37,12.38
2026-03-02 10:35:55,BITU,12.4,12.41
2026-03-02 10:36:55,BITU,12.44,12.45
2026-03-02 10:37:55,BITU,12.46,12.47
